abandon v.放弃
station n.站;驻地
stationery n.信纸;文具
stationmaster n.站长
statistic n.统计;统计资料
statue n.雕像;塑像
stature n.身高;身材
status n.地位;状态
statute n.法令;法规
statutory adj.法定的;法令的
stay v.停留;坚持 n.逗留
stead n.代替人;立场
steadfast adj.坚定的;忠实的
steady adj.稳定的 v.使稳定
steak n.牛排;肉排
steal v.偷;窃取
stealth n.秘密;潜行
stealthy adj.秘密的;鬼鬼祟祟的
steam n.蒸汽 v.蒸煮
steamer n.蒸汽机;轮船
steel n.钢;钢铁
steep adj.陡峭的 v.浸泡
steeple n.尖塔;塔楼
steer v.驾驶;控制
stellar adj.星的;星星的
stem n.茎;词干 v.起源于
stencil n.蜡纸;模版 v.用蜡纸印刷
stenographer n.速记员;打字员
step n.步;步骤 v.行走
steppe n.草原;干草原
sterile adj.不育的;无菌的
sterility n.不育;不育症
sterilize v.使不育;消毒
stern adj.严厉的;坚决的
sternum n.胸骨;胸膛
stethoscope n.听诊器
stew n.炖肉;困境 v.炖
steward n.乘务员;看管人
stewardess n.女乘务员;空姐
stick n.棍;棒 v.粘贴
stickler n.坚持细节者;顽固者
sticky adj.粘的;粘性的
stiff adj.硬的;僵硬的
stiffen v.变硬;变僵
stifle v.窒息;扼杀
stifling adj.令人窒息的
stigma n.耻辱;污名
stigmatize v.污名化;标记
still adj.静止的 adv.仍然
stillness n.静止;寂静
stilt n.高跷;支柱
stimulant n.刺激物;兴奋剂
stimulate v.刺激;激励
stimulating adj.令人兴奋的
stimulation n.刺激;激励
stimulus n.刺激;激励因素
sting n.刺;刺痛 v.刺
stinging adj.刺骨的;尖锐的
stingy adj.吝啬的;小气的
stink v.发臭;令人厌恶
stint n.份额;阶段
stipend n.津贴;奖学金
stipulate v.规定;要求
stipulation n.规定;要求
stir v.搅拌;激发
stirring adj.激动人心的;动人的
stitch n.一针;缝线 v.缝合
stock n.存货;股票
stockade n.栅栏;围栏
stockbroker n.股票经纪人
stockholder n.股东
stockpile n.囤积;库存
stocky adj.矮胖的;健壮的
stodgy adj.笨重的;缺乏想象力的
stoic n.斯多葛;坚忍的人
stoical adj.无感情的;坚忍的
stoke v.添煤;激发
stolen adj.偷来的;窃取的
stomach n.胃;腹部
stone n.石头;果实核
stoneware n.石器;炻器
stony adj.石头的;无情的
stoop v.弯腰;屈服
stop v.停止;堵塞
stoppage n.停止;阻塞
storage n.存储;仓库
store n.商店 v.存储
storehouse n.仓库;货仓
storey n.层;楼层
storm n.暴风雨 v.袭击
stormy adj.暴风雨的;激烈的
story n.故事;传说
stout adj.肥胖的;勇敢的
stove n.火炉;炉子
stow v.贮藏;装载
straddle v.跨坐;跨越
straggle v.挣扎;散漫地走
straight adj.直的 adv.直地
straightforward adj.直接的;简单的
strain n.紧张 v.拉紧
strained adj.紧张的;不自然的
strait n.海峡;困境
strand n.线;串 v.使滞留
strange adj.陌生的;奇怪的
stranger n.陌生人;新来者
strangle v.勒死;压制
strangulation n.勒死;扼杀
strap n.带子 v.用带子系紧
strata n.地层;阶层
strategic adj.战略的;重要的
strategist n.战略家;策划者
strategy n.战略;策略
straw n.稻草;吸管
stray v.迷路;偏离
streak n.条纹;线条 v.加条纹
stream n.溪流 v.流动
streamline v.使成流线型
street n.街道;马路
strength n.力量;强度
strengthen v.加强;巩固
strenuous adj.费力的;奋发的
stress n.压力 v.强调
stressful adj.紧张的;压力重的
stretch v.伸展 n.伸展
strewn adj.散布的;分散的
stricken adj.受困的;受打击的
strict adj.严格的;绝对的
strictly adv.严格地;绝对地
stride v.大步走 n.大步
strife n.冲突;竞争
strike v.打;罢工
striking adj.引人注目的;显著的
string n.线;一串 v.系
strip n.条;带 v.剥去
stripe n.条纹;条纹 v.加条纹
striped adj.有条纹的;有斑纹的
strive v.努力;奋斗
stroke n.打;中风
stroll v.闲逛 n.闲逛
strong adj.强壮的;强的
stronghold n.要塞;据点
structural adj.结构的;建筑的
structure n.结构;建筑物
struggle n.斗争 v.斗争
strut v.昂首阔步 n.支柱
stubborn adj.顽固的;固执的
stubbornly adv.顽固地;固执地
stubbornness n.顽固;固执
stucco n.灰泥;泥浆
stuck adj.被卡住的;被粘住的
stud n.种马;饰钉
studded adj.有饰钉的;散布的
student n.学生;学者
studio n.工作室;摄影室
study n.学习 v.学习
stuff n.材料;东西 v.填满
stuffy adj.闷热的;古板的
stumble v.绊倒;结巴
stump n.树桩;残余 v.砍伐
stun v.使昏迷;打昏
stunning adj.令人晕倒的;极好的
stunt n.特技;噱头 v.表演特技
stupefy v.使惊呆;使茫然
stupendous adj.巨大的;惊人的
stupid adj.愚蠢的;感觉迟钝的
stupidity n.愚蠢;愚昧
stupor n.昏迷;昏迷状态
sturdy adj.结实的;健康的
stutter v.口吃 n.口吃
sty n.猪圈;猪舍
style n.风格;样式
stylish adj.时髦的;潇洒的
stylist n.美学家;文体家
stylized adj.风格化的;程式化的
suave adj.温文尔雅的;圆滑的
subdivide v.再分;细分
subdue v.征服;减弱
subdued adj.被抑制的;柔和的
subdue v.征服;减弱
subject n.主题 adj.服从的
subjective adj.主观的;个人的
subjugate v.征服;镇压
subjunctive n.虚拟语气 adj.虚拟的
sublimate v.升华;提炼
sublime adj.崇高的;极好的
submarine adj.海下的 n.潜水艇
submerge v.浸没;淹没
submerged adj.潜水的;淹没的
submission n.服从;提交
submissive adj.服从的;顺从的
submit v.提交;服从
subordinate adj.从属的 n.部属
subpoena n.传票 v.传讯
subscribe v.订阅;捐助
subscriber n.订阅者;捐助者
subscription n.订阅;捐助
subsequent adj.随后的;后来的
subsidiary adj.辅助的;次要的
subsidy n.补助金;津贴
subsist v.存在;维持生活
subsistence n.生存;生活
subsoil n.底土;下层土壤
substance n.物质;实质
substantial adj.大量的;实质的
substantiate v.证实;确定
substantive adj.实质的;有实质的
substitute n.代替者 v.代替
substitution n.代替;替换
subterranean adj.地下的;秘密的
subtitle n.副标题;字幕
subtle adj.微妙的;敏感的
subtract v.减去;减法
suburb n.郊区;城外
suburban adj.郊区的;田园的
suburbia n.郊区;郊区生活
subversive adj.颠覆性的;破坏性的
subvert v.颠覆;推翻
subway n.地铁;地道
succeed v.成功;继承
success n.成功;成就
successful adj.成功的;有成效的
succession n.连续;继承
successive adj.连续的;继承的
successor n.继承人;后继者
succinct adj.简洁的;简明的
succumb v.屈服;死亡
such adj.这样的;这样的
suchlike adj.这样的;这种类型的
suck v.吸吮;吸取
sucker n.吸盘;易受骗的人
sudden adj.突然的;意外的
suddenly adv.突然地
sue v.控告;提出请求
suffer v.受苦;遭受
sufferance n.忍受;容忍
suffering n.痛苦;苦难
suffice v.足够;胜任
sufficient adj.足够的;充分的
sufficiently adv.足够地;充分地
suffix n.后缀;后缀词
suffocate v.窒息;闷死
suffrage n.选举权;投票
suffragist n.争取参政权者
sugar n.糖;食糖
suggest v.建议;暗示
suggestion n.建议;暗示
suggestive adj.暗示的;提示的
suicidal adj.自杀的;导致自杀的
suicide n.自杀;自杀行为
suit n.套装 v.适合
suitable adj.合适的;适宜的
suitcase n.手提箱;衣箱
suite n.套房;套间
suitor n.求婚者;原告
sulfur n.硫;硫磺
sulk v.生气;愠怒
sullen adj.闷闷不乐的;阴沉的
sully v.玷污;诽谤
sulphur n.硫磺;硫磺（英式拼写）
sum n.总和 v.总结
summarize v.概括;总结
summary n.摘要;概要
summer n.夏天;夏季
summit n.顶点;最高级会议
summon v.召唤;召集
summons n.传票;召集
sun n.太阳;阳光
sunburn n.晒伤 v.晒伤
sunder n.断裂;分裂 v.使分离
sundry adj.各种的;若干
sunk adj.沉没的;被沉没的
sunken adj.沉没的;塌陷的
sunlight n.日光;阳光
sunny adj.阳光的;晴朗的
sunrise n.日出;黎明
sunset n.日落;傍晚
sunshine n.阳光
super adj.超级的;极好的
superannuate v.使过时
superb adj.高级的;极好的
superficial adj.表面的;肤浅的
superfluous adj.多余的;不必要的
superintendent n.监督者;主管
superior adj.上级的 n.上级
superiority n.优越;优越感
superlative adj.最高级的;最佳的
supernatural adj.超自然的
superscript n.上标;上标号
supersonic adj.超音速的
superstition n.迷信;迷信行为
superstitious adj.超级的;迷信的
supervise v.监督;管理
supervision n.监督;管理
supervisor n.监督者;监工
supper n.晚餐;晚饭
supplant v.排挤;取代
supple adj.柔软的;灵活的
supplement n.补遗;补充
supplementary adj.补遗的;补充的
suppliant adj.恳求的;哀求的
supplicant n.恳求者;请求者
supplicate v.恳求;祈求
supplication n.恳求;祈求
supplier n.供应者;供应厂商
supplies n.供应品;补给品
supply n.供应 v.供给
support n.支持 v.支持
supporter n.支持者;支撑者
supportive adj.支持的;支持性的
suppose v.假设;认为
supposed adj.假定的;被认为的
supposition n.假设;前提
suppress v.镇压;压制
suppression n.镇压;压制
supremacy n.至高无上;霸权
supreme adj.至高的;最高的
surcharge n.附加费;额外收费
sure adj.确信的;可靠的
surely adv.无疑地;一定
surf n.冲浪 v.冲浪
surface n.表面;表层
surge n.浪涌;激增 v.涌上
surgeon n.外科医生;军医
surgery n.外科;外科手术
surly adj.粗暴的;脾气坏的
surmise v.猜测;推测
surmount v.克服;战胜
surname n.姓;姓氏
surpass v.超过;超越
surplus n.过剩;剩余
surprise n.惊奇 v.使惊奇
surprised adj.感到惊讶的
surprising adj.令人惊讶的
surprisingly adv.令人惊讶地
surrender v.投降;交出
surrender n.投降;交出
surrogate n.代理人;代替者
surround v.围绕;环绕
surrounding adj.周围的;附近的
surroundings n.环境;周围的事物
surveillance n.监视;监控
survey n.调查;测量 v.调查
survive v.生存;幸免于难
survival n.生存;幸存
survivor n.幸存者;生还者
susceptibility n.易受影响;敏感性
susceptible adj.易受影响的;敏感的
suspect v.怀疑;不信任
suspend v.暂停;悬挂
suspender n.吊索;吊带
suspense n.悬念;怀疑
suspension n.暂停;悬挂
suspicion n.怀疑;嫌疑
suspicious adj.怀疑的;可疑的
sustain v.支撑;维持
sustained adj.持久的;持续的
sustenance n.维持;食物
swab n.拖把;药棉球 v.擦洗
swag n.赃物;赃物
swagger v.夸耀;大摇大摆地走
swallow n.燕子 v.吞下
swamp n.沼泽;湿地 v.淹没
swampy adj.沼泽的;湿地的
swan n.天鹅 v.闲逛
swap v.交换;交换
swarm n.一群;一大群 v.蜂拥
sway n.摇摆;摇动
swear v.宣誓;咒骂
sweat n.汗 v.出汗
sweater n.毛线衣;运动衫
sweaty adj.出汗的;导致出汗的
sweep v.扫;席卷
sweet adj.甜的 n.糖果
swell v.肿胀;膨胀
swelling n.肿胀;增大
swerve v.转向;突然改变
swift adj.快的;迅速的
swim v.游泳 n.游泳
swimming n.游泳;游泳
swindle v.诈骗;骗取
swipe v.擦;刷
swirl n.漩涡;螺旋形 v.旋转
swish v.挥动;发嗖嗖声
switch n.开关 v.转换
swivel n.转椅;旋转
sword n.剑;刀
swore v.宣誓;保证
sworn adj.宣誓的;发誓的
swung v.摇摆;悬挂
syllabus n.教学大纲;纲要
symbol n.符号;象征
symbolic adj.符号的;象征的
symbolize v.象征;代表
symmetric adj.对称的;均齐的
symmetry n.对称;均衡
sympathetic adj.同情的;共鸣的
sympathize v.同情;共鸣
sympathy n.同情;共鸣
symphony n.交响乐;和谐
symptom n.症状;征候
synchronize v.同步;合拍
synchronous adj.同步的;同时发生的
syndrome n.综合症状;并发症
synthesis n.合成;综合
synthetic adj.合成的;人造的
syringe n.注射器;洗胃器
system n.系统;体系
systematic adj.系统的;有计划的
tab n.标签;制表
table n.桌子;表格
tableau n.活人画;场景
tabloid n.药片;小报
taboo adj.忌讳的 n.禁忌
tabular adj.桌子的;表格的
tacit adj.默契的;心照不宣的
tacitness n.默契;默许
tack n.大头钉;方针
tackle v.对付;处理
tact n.机智;圆滑
tactic n.策略;战术
tactical adj.战术的;策略的
tactics n.战术;策略
tactile adj.触觉的;有感觉的
tad n.一点儿;少量
taint n.污点;玷污 v.玷污
take v.拿;取
takeover n.接管;接收
talent n.才能;天资
talented adj.有才能的;有才华的
talk n.谈话 v.谈话
talkative adj.多话的;健谈的
tall adj.高的 adv.高地
tally n.计数器;得分 v.合计
talon n.爪;猛禽的利爪
tambourine n.手鼓
tame adj.驯服的;顺从的
tamper v.窜改;破坏
tan n.鞣料 adj.棕黄色的
tangent n.正切;切线
tangle n.纠缠;缠结 v.纠缠
tangled adj.纠缠的;复杂的
tank n.坦克;大容器
tanker n.油船;大型飞机
tap n.龙头;轻拍 v.轻拍
tape n.带子;录音 v.录音
taper n.逐渐变细 v.逐渐变细
tapestry n.挂毯;织锦
tar n.焦油;柏油
target n.目标 v.瞄准
tariff n.关税;价目表
tarpaulin n.油布;防水布
tarragon n.龙蒿;龙蒿属植物
tarry v.耽搁;延迟
tart adj.酸的;尖酸的
tartan n.塔特恩（苏格兰）
tartar n.酒石;塔塔尔人
task n.任务;工作
tassel n.流苏;穗
taste n.味道 v.尝
tasteful adj.有味道的;审美的
tasteless adj.无味道的;乏味的
tasty adj.美味的;可口的
tatter n.破烂;碎布
tattered adj.破旧的;衣衫褴褛的
taunt v.逗弄;挑逗
taut adj.绷紧的;拉紧的
tavern n.小酒馆;客栈
tawdry adj.华而不实的;廉价的
tax n.税 v.征税
taxation n.征税;税金
taxi n.出租汽车;的士
taxonomic adj.分类的;分类学的
taxonomy n.分类学;分类法
tea n.茶;茶叶
teach v.教;教授
teacher n.教师;教师
teaching n.教学;教导
team n.队 v.结合
teamwork n.合作;协作
tear n.眼泪 v.撕破
tearful adj.含泪的;感伤的
tease v.取笑;戏弄
teaspoon n.茶匙
technical adj.技术的;专门的
technicality n.技术性;细节
technique n.技巧;方法
technology n.技术;工艺
tedious adj.乏味的;冗长的
tedium n.厌倦;厌倦感
teem v.充满;到处都是
teeming adj.充满的;拥挤的
teeth n.牙齿
teethe v.出牙;使烦躁
telegram n.电报
telegraph n.电报机 v.电报
telephone n.电话 v.打电话
telescope n.望远镜 v.缩短
televise v.电视播放;播送
television n.电视;电视机
tell v.告诉;分辨
teller n.银行出纳员;讲述者
temper n.脾气;性情
tempera n.蛋彩画;气质
temperament n.气质;性情
temperamental adj.喜怒无常的;易变的
temperature n.温度;体温
temperate adj.温和的;适度的
tempest n.暴风雨;骚动
tempestuous adj.暴风雨的;激烈的
template n.模板;样板
temple n.庙宇;太阳穴
temporal adj.世俗的;时间的
temporary adj.临时的;暂时的
tempt v.引诱;诱惑
temptation n.引诱;诱惑
tempting adj.吸引人的;诱人的
ten num.十
tenable adj.站得住脚的;合理的
tenacious adj.坚韧的;固执的
tenacity n.坚韧;固执
tenancy n.租赁;占有
tenant n.房客;佃户
tend v.倾向于;照料
tendency n.倾向;趋势
tender adj.温柔的 n.投标
tenderness n.温柔;嫩度
tendon n.腱;筋
tenement n.租赁房屋;住宅
tenet n.信条;原则
tenor n.男高音;要点
tense adj.拉紧的;紧张的
tensile adj.拉伸的;拉力的
tension n.拉力;张力
tent n.帐篷 v.搭建帐篷
tentacle n.触手;触须
tentative adj.试探性的;不确定的
tenterhooks n.焦虑不安
term n.学期;术语
terminal adj.末期的 n.终端
terminate v.终止;结束
termination n.结束;终止
terminology n.术语;术语学
terminus n.终点;终点车站
termite n.白蚁
terrace n.阳台;平台
terrain n.地形;地带
terrestrial adj.地球的;陆地的
terrible adj.可怕的;糟糕的
terribly adv.可怕地;非常
terrific adj.极大的;极好的
terrify v.使恐怖;恐吓
territory n.领土;领域
terror n.恐怖;惊恐
terrorist n.恐怖分子
terse adj.简洁的;简明的
tertiary adj.第三的;第三位的
test n.测试 v.测试
testament n.遗嘱;证据
testify v.作证;证明
testimony n.证词;证明
testy adj.性急的;易怒的
tether n.绳索;束缚 v.束缚
text n.文本;课文
textbook n.教科书
textile n.纺织品;织物
texture n.质地;结构
than conj.比
thank v.感谢 n.感谢
thankful adj.感激的;感谢的
thankfully adv.感激地;感谢地
thankless adj.不领情的;不感谢的
that adj.那个 pron.那个
thaw v.解冻 n.解冻
theatre n.剧场;戏剧
theatrical adj.戏剧的;戏剧性的
thee pron.你（古英语）
theft n.盗窃;偷窃
their pron.他们的
theirs pron.他们的
them pron.他们
theme n.主题;题目
themselves pron.他们自己
then adv.那么;当时
thence adv.从那里
theologian n.神学家
theology n.神学;宗教
theorem n.定理;原理
theoretical adj.理论的
theorist n.理论家;理论者
theory n.理论;学说
therapeutic adj.治疗的;治疗的
therapist n.治疗专家;临床医生
therapy n.治疗;疗法
there adv.在那里
thereafter adv.之后;后来
thereby adv.因此;在那附近
therefore adv.因此;所以
therein adv.在其中
thereof adv.在其中;在那方面
thermal adj.热的;热量的
thermometer n.温度计;寒暑表
thesis n.论文;论点
they pron.他们
thick adj.厚的;浓的
thicken v.变厚;变浓
thicket n.灌木丛;丛林
thickness n.厚度;浓密
thief n.贼;小偷
thieve v.偷;盗窃
thigh n.大腿;股
thin adj.薄的;瘦的
thine pron.你的（古英语）
thing n.东西;事情
think v.想;认为
thinkable adj.可想象的;可能的
third adj.第三的 n.三分之一
thirdly adv.第三地;第三方面
thirst n.渴;渴望
thirsty adj.渴的;渴望的
thirteen num.十三
thirty num.三十
this adj.这 pron.这个
thorn n.刺;荆棘
thorny adj.多刺的;困难的
thorough adj.彻底的;详尽的
thoroughly adv.彻底地;完全地
though conj.虽然 adv.可是
thought n.思考;思想
thoughtful adj.深思的;体贴的
thoughtless adj.无思考的;轻率的
thousand num.一千
thrash v.鞭打;打败
thread n.线;线索 v.穿线
threadbare adj.磨破的;陈腐的
threat n.威胁;凶兆
threaten v.威胁;预示
three num.三
threshold n.阈值;门槛
thrift n.节俭;节约
thrifty adj.节俭的;节约的
thrill n.兴奋;震颤 v.使兴奋
thrilling adj.令人兴奋的
thrive v.繁荣;兴旺
throat n.喉咙;嗓子
throes n.嗓音
throne n.宝座;王位
throng n.人群 v.拥挤
through adv.通过 prep.通过
throughout adv.贯穿;到处
throughput n.吞吐量;产量
throw v.投;抛
thrust v.推;刺 n.推力
thud n.重击声;砰
thumb n.拇指 v.用拇指拨弄
thump v.重击;敲击
thumping adj.重的;砰砰响的
thunder n.雷声 v.打雷
thunderous adj.雷鸣般的;巨大的
thunderstorm n.雷雨;雷电交加
thwart v.阻碍;阻挠
thyme n.百里香
tiara n.头饰;小型王冠
tibia n.胫骨;小腿骨
tick n.滴答声;勾号
ticket n.票;标签
tickle v.痒;胳肢
tid n.潮流;潮水
tide n.潮汐;潮流
tidy adj.整洁的 v.整理
tie n.领带 v.系;束缚
tier n.层;行
tiger n.老虎;凶暴的人
tight adj.紧的 adv.紧地
tighten v.变紧;勒紧
tile n.瓦片;瓷砖
till conj.直到 prep.直到
tilt v.倾斜;倾倒
timber n.木材;木料
time n.时间;次
timely adj.及时的;适时的
timid adj.胆小的;羞怯的
timidity n.胆小;缺乏自信
tin n.锡;罐头
tinge n.色彩;气味 v.染色
tingle v.刺痛;感到刺痛
tinker v.修补;胡乱修补
tinkle n.叮当声 v.发出叮当声
tint n.色彩;色泽 v.染色
tiny adj.微小的;极小的
tip n.尖端;小费 v.倾斜
tire v.疲劳 n.轮胎
tired adj.疲劳的;厌倦的
tiresome adj.累人的;令人厌烦的
tissue n.组织;薄纱
titanic adj.巨大的;了不起的
title n.标题;头衔
to adv.向;到
toad n.蟾蜍;癞蛤蟆
toast n.烤面包 v.敬酒
tobacco n.烟草;烟
toe n.脚趾
toenail n.脚趾甲
toffee n.奶糖;太妃糖
together adv.一起;共同
toggle n.切换 v.切换
toil n.辛苦;辛勤工作 v.辛苦工作
toilet n.厕所;洗手间
token n.表示;标志
tolerable adj.可容忍的
tolerance n.容忍;公差
tolerant adj.容忍的;有耐性的
tolerate v.容忍;容许
toll n.通行费;钟声
tomahawk n.战斧;印第安战斧
tomato n.番茄
tomb n.坟墓;墓穴
tomorrow n.明天
ton n.吨
tone n.语气;音调
tongue n.舌头;语言
tonic n.补药;补品
tonnage n.吨数;排水量
too adv.也;太
tool n.工具;器具
tooth n.牙齿;齿
top n.顶部 adj.最高的
topic n.题目;话题
topple v.推翻;倾覆
torment n.痛苦;苦恼
tormentor n.折磨者;迫害者
torn adj.撕破的;分裂的
tornado n.龙卷风
torpedo n.鱼雷 v.用鱼雷攻击
torrent n.奔流;洪流
torture n.折磨 v.折磨
toss v.投掷;摇摆
total adj.总的 n.总数
totalitarian adj.极权主义的
totter v.摇摇欲坠;蹒跚
touch n.触觉 v.接触
touching adj.动人的;动人的
touchy adj.敏感的;易生气的
tough adj.坚硬的;棘手的
tour n.旅游;巡回
tourism n.旅游;旅游业
tourist n.旅行者;游客
tousle v.弄乱;斗争
tout v.招揽;兜售
tow v.拖;牵引
towards prep.向;朝
toxic adj.有毒的;中毒的
toxin n.毒素;毒质
toy n.玩具 v.玩弄
trace n.痕迹 v.追溯
traceable adj.可追踪的;可归因的
track n.轨道 v.追踪
tract n.地区;大片土地
tractor n.拖拉机;牵引机
trade n.贸易 v.交易
trademark n.商标 v.打商标
tradition n.传统;风俗
traditional adj.传统的;风俗的
traffic n.交通;贸易
tragedy n.悲剧;灾难
tragic adj.悲剧的;悲惨的
trail n.痕迹;小径 v.拖
trailer n.拖车;预告片
train n.火车 v.训练
trained adj.受过训练的
trainer n.训练员;教练
training n.训练;培养
trait n.特征;特性
traitor n.叛徒;卖国贼
tram n.电车;有轨电车
tramp v.重步走 n.长途跋涉
trample v.踩踏;践踏
trance n.出神;恍惚
tranquil adj.平静的;宁静的
tranquility n.平静;宁静
transaction n.交易;办理
transcend v.超越;胜过
transcendent adj.超卓越的
transcribe v.转录;抄写
transcript n.抄本;副本
transfer v.转移;调动
transference n.转移;转让
transform v.改变;变换
transformation n.变化;改造
transient adj.短暂的;瞬时的
transit n.运输;经过
transition n.转变;过渡
transitory adj.短暂的;临时的
translate v.翻译;解释
translation n.翻译;译文
transmission n.传动;传送
transmit v.传输;传播
transparency n.透明;透明度
transparent adj.透明的;显然的
transplant v.移植;移居
transport v.运输 n.运输
transportation n.运输;运输系统
transverse adj.横的;横贯的
trap n.陷阱 v.诱捕
trapeze n.空中秋千
trapezoid n.梯形;陷井
trauma n.创伤;外伤
travail n.辛苦;痛苦
travel n.旅行 v.旅行
traveler n.旅行者;游客
traverse v.横贯;穿过
travesty n.男扮女装;装扮
trawl v.拖网;搜索
tray n.托盘;盘
treacherous adj.背叛的;危险的
tread n.步;脚步 v.踩
treadmill n.踏车;跑步机
treason n.叛国;背叛
treasure n.财宝 v.珍视
treasurer n.财务主管;出纳员
treasury n.国库;宝库
treat v.对待;款待
treatment n.治疗;处理
treaty n.条约;协定
treble adj.三重的 n.三重唱
tree n.树
tremble v.颤抖;震动
tremendous adj.巨大的;极好的
trench n.沟;壕沟
trend n.趋势;倾向
trendy adj.流行的;时髦的
trepidation n.恐惧;忧虑
trespass n.侵入;侵权 v.侵入
triad n.三个一组;三重奏
trial n.试验;审判
triangle n.三角形
triangular adj.三角形的
tribe n.部落;族
tribulation n.苦难;磨难
tribute n.贡品;称赞
trick n.诡计;把戏
trickle v.滴下 n.小溪
trifle n.小事;琐事
trifling adj.微不足道的;不重要的
trigger n.扳机 v.引发
trillion num.万亿
trim adj.整齐的 v.修剪
trinket n.小饰品;小玩意儿
triple adj.三倍的 n.三个一组
triumph n.胜利 v.获胜
triumphant adj.胜利的;得意的
trivial adj.微不足道的;琐细的
trolley n.手推车;电车
troop n.军队;一群
trooper n.骑兵;警察
trophy n.奖品;战利品
tropical adj.热带的;热情的
trot v./n.小跑;快步
trouble n.麻烦 v.麻烦
troublesome adj.麻烦的;讨厌的
trough n.饲料槽;低谷
trounce v.重击;痛打
troupe n.剧团;演员阵容
trousers n.裤子;长裤
trout n.鳟鱼
truce n.停战;休战
truck n.卡车;货车
truculent adj.好战的;凶狠的
trumpet n.小号;喇叭
trumpeter n.吹小号者;传令官
truncate v.截断;缩短
trunk n.树干;躯干
truss n.支撑;桁架
trust n.信任 v.信任
trustee n.受托人;托管人
truth n.真理;真相
try v.尝试;审判
tsar n.沙皇（俄国皇帝）
tub n.桶;浴盆
tube n.管;管子
tuck v.夹住;卷起
tuesday n.星期二
tuft n.一簇;一丛
tug v.拖;拉
tuition n.学费;教学
tulip n.郁金香
tumble v.跌倒;滚落
tumult n.骚动;混乱
tumultuous adj.骚乱的;剧烈的
tuna n.金枪鱼
tune n.调子;和谐 v.调音
tunnel n.隧道;地道
turbulent adj.骚乱的;动荡的
turf n.草皮;赛马场
turmoil n.混乱;骚动
turn v.转动 n.轮流
turning n.转弯;转变
turnip n.萝卜
turret n.塔楼;炮塔
tutor n.家庭教师 v.辅导
tutorial adj.辅导的;教学的
twilight n.黎明;黄昏
twin adj.双胞胎的 n.双胞胎
twinkle v.闪烁;闪亮
twist v.扭曲 n.扭曲
twisted adj.扭曲的;蜿蜒的
twit n.傻瓜;笨蛋
two num.二;两个
twofold adj.双重的;两倍的
type n.类型 v.打字
typewriter n.打字机
typhoid n.伤寒;斑疹伤寒
typhoon n.台风;飓风
tyranny n.暴政;专横
tyrant n.暴君;专横的人
ubiquitous adj.普遍存在的;无所不在的
ugly adj.丑陋的;难看的
ulcer n.溃疡;腐烂物
ultimate adj.最终的;极限的
ultimatum n.最后通牒
ultraviolet adj.紫外线的
ultrasound n.超声波
ultraviolet adj.紫外线的
umbilical adj.脐带的;中心的
umbrella n.伞;保护物
umpire n.裁判员;仲裁人
umpteen adj.无数的;许多的
umpteenth adj.第n次的;第n个的
unabashed adj.不害羞的;不畏惧的
unable adj.不能的;无能力的
unacceptable adj.无法接受的
unaccounted adj.未解释的;未说明的
unanimous adj.意见一致的
unarmed adj.未武装的;空手的
unassuming adj.谦逊的;不装腔作势的
unattached adj.未附加的;未婚的
unattainable adj.达不到的;无法获得的
unauthorized adj.未授权的;非法的
unavoidable adj.不能避免的
unbalance v.使失去平衡
unbalanced adj.不平衡的;不稳定的
unbearable adj.难以忍受的;承受不了的
unbelievable adj.难以置信的;不可信的
unbosom v.吐露心事;倾诉
unbridled adj.无拘无束的;放纵的
unburden v.减轻负担;卸下负担
unbutton v.解开纽扣;放松
uncannier adj.更古怪的;更离奇的
uncanny adj.神秘的;不可思议的
unceasing adj.不断的;不停的
uncertain adj.不确定的;无常的
uncertainty n.不确定;疑惑
unchallenged adj.未受挑战的;无争议的
unchangeable adj.不变的;不可改变的
uncheck v.检查;不受限制
unchecked adj.未受限制的;未被抑制的
uncivil adj.不文明的;粗野的
uncivilized adj.未开化的;野蛮的
unclaimed adj.未被认领的;无人认领的
uncle n.叔叔;伯伯
uncommon adj.不寻常的;罕见的
uncompromising adj.不妥协的;坚定的
unconventional adj.非传统的;不寻常的
uncouth adj.粗俗的;无教养的
uncover v.发现;揭开
uncovered adj.无遮盖的;暴露的
unction n.unction;油脂
unctuous adj.谄媚的;过分殷勤的
undaunted adj.无畏的;勇敢的
under prep.在...之下 adv.在下面
undercurrent n.暗流;潜流
underdog n.失败者;弱者
underline v.强调;在...下划线
underlying adj.潜在的;根本的
undermine v.破坏;侵蚀
underneath prep.在...下面 adv.在下面
underpants n.内裤;内衣
underscore v.强调;在...下划线
undershirt n.汗衫;内衣
understand v.理解;懂得
understanding n.理解;理解力
understate v.轻描淡写;低估
understatement n.轻描淡写;保守的陈述
understood adj.被理解的;被听说的
undertake v.承担;从事
undertaking n.承担;任务
underwood n.灌木林;下层林
underworld n.阴间;犯罪集团
undesirable adj.不受欢迎的 n.不受欢迎的人
undo v.取消;解开
undoing n.取消;解体
undoubted adj.无疑问的;确定的
undress v.脱衣 n.女装;服装
undue adj.不适当的;过分的
undying adj.不死的;不朽的
unearth v.发掘;发现
unearthly adj.超自然的;非尘世的
unemployment n.失业;失业率
uneven adj.不平坦的;不均匀的
uneventful adj.平静的;无重大事件的
unfair adj.不公平的;不公正的
unfaithful adj.不忠实的;不忠诚的
unfamiliar adj.不熟悉的;陌生的
unfavorable adj.不利的;不赞成的
unfold v.展开;发展
